Name,Tags,net,Test Accuracy,Test Loss,learning_rate,Epoch,PADDING,Train Accuracy,Train Loss,batch_size,criterion,epochs,in_channels,kernel_size,nconvolutions,optimizer,out_channels,stride,transformer
Net: LeNet5 Transf: Cxr8 Epochs: 15,"Batchnorm, Dropout",LeNet5,61.91,0.219620558,0.002,14,"[0,0]",99.48,0.00148826,16,Cross Entropy,15,"[1,6]","[5,5]",2,Adam,"[6,16]","[1,1]",Cxr8
Net: ComplexCNN Transf: Cxr8 Epochs: 15,"Batchnorm, Dropout",ComplexCNN,67.92,0.038546039,0.002,14,"[0,0,0]",73.87,0.033718034,16,Cross Entropy,15,"[1,6,10]","[12,6,4]",3,Adam,"[6,10,5]","[3,2,1]",Cxr8
Net: Cxr8Net Transf: Cxr8 Epochs: 15,"Batchnorm, Dropout",Cxr8Net,66.34,0.049364304,0.002,14,0,82.75,0.024292818,16,Cross Entropy,15,1,5,1,Adam,3,1,Cxr8
Net: LeNet5NoRegNoBN Transf: Cxr8 Epochs: 15,"L2 Norm, No Reg",LeNet5NoRegNoBN,59.78,0.164291809,0.002,14,"[0,0]",95.39,0.007312641,16,Cross Entropy,15,"[1,6]","[5,5]",2,Adam,"[6,16]","[1,1]",Cxr8
Net: LeNet5NoRegNoBN Transf: Cxr8 Epochs: 15,"L2 Norm, No Reg",LeNet5NoRegNoBN,59.32,0.29689328,0.002,14,"[0,0]",99.82,0.000253153,16,Cross Entropy,15,"[1,6]","[5,5]",2,Adam,"[6,16]","[1,1]",Cxr8
Net: LeNet5NoRegNoBN Transf: Cxr8 Epochs: 15,"L2 Norm, No Reg",LeNet5NoRegNoBN,61.81,0.242089477,0.002,14,"[0,0]",99.85,0.000170254,16,Cross Entropy,15,"[1,6]","[5,5]",2,Adam,"[6,16]","[1,1]",Cxr8
Net: ComplexCNNNoRegNoBN Transf: Cxr8 Epochs: 15,"L2 Norm, No Reg",ComplexCNNNoRegNoBN,64.87,0.039903217,0.002,14,"[0,0,0]",68.27,0.037511353,16,Cross Entropy,15,"[1,6,10]","[12,6,4]",3,Adam,"[6,10,5]","[3,2,1]",Cxr8
Net: ComplexCNNNoRegNoBN Transf: Cxr8 Epochs: 15,"L2 Norm, No Reg",,65.78,0.039878283,0.000411782,14,,69.45,0.0363873,,,,,,,,,,
Net: ComplexCNNNoRegNoBN Transf: Cxr8 Epochs: 15,"L2 Norm, No Reg",ComplexCNNNoRegNoBN,40.78,0.044879357,0.002,14,"[0,0,0]",55.1,0.043073255,16,Cross Entropy,15,"[1,6,10]","[12,6,4]",3,Adam,"[6,10,5]","[3,2,1]",Cxr8
Net: Cxr8NetNoRegNoBN Transf: Cxr8 Epochs: 15,"L2 Norm, No Reg",Cxr8NetNoRegNoBN,64.36,0.042442169,0.002,14,0,75.96,0.030823978,16,Cross Entropy,15,1,5,1,Adam,3,1,Cxr8
Net: Cxr8NetNoRegNoBN Transf: Cxr8 Epochs: 15,"L2 Norm, No Reg",Cxr8NetNoRegNoBN,64.82,0.041135147,0.002,14,0,73.55,0.033057643,16,Cross Entropy,15,1,5,1,Adam,3,1,Cxr8
Net: Cxr8NetNoRegNoBN Transf: Cxr8 Epochs: 15,"L2 Norm, No Reg",Cxr8NetNoRegNoBN,61.3,0.044205869,0.002,14,0,73.09,0.033579314,16,Cross Entropy,15,1,5,1,Adam,3,1,Cxr8
