"Name","net","Test Accuracy","Test Loss","batch_size"
"Net: LeNet5NoRegNoBN Transf: Cxr8 Epochs: 15","LeNet5NoRegNoBN","61.56","0.020749158717221498","32"
"Net: ComplexCNNNoRegNoBN Transf: Cxr8 Epochs: 15","ComplexCNNNoRegNoBN","40.78","0.024138568648252857","30"
"Net: Cxr8NetNoRegNoBN Transf: Cxr8 Epochs: 15","Cxr8NetNoRegNoBN","64.46","0.024545663045889975","26"
"Net: Cxr8NetNoRegNoBN Transf: Cxr8 Epochs: 15","Cxr8NetNoRegNoBN","65.07","0.028827613413091105","22"
"Net: ComplexCNNNoRegNoBN Transf: Cxr8 Epochs: 15","ComplexCNNNoRegNoBN","40.78","0.040017537453995215","18"
"Net: ComplexCNNNoRegNoBN Transf: Cxr8 Epochs: 15","Cxr8NetNoRegNoBN","63.59","0.04067660467566395","16"
"Net: Cxr8NetNoRegNoBN Transf: Cxr8 Epochs: 15","Cxr8NetNoRegNoBN","64.61","0.06367692823261933","10"
"Net: LeNet5NoRegNoBN Transf: Cxr8 Epochs: 15","LeNet5NoRegNoBN","65.94","0.08236191534795732","8"
"Net: LeNet5NoRegNoBN Transf: Cxr8 Epochs: 15","LeNet5NoRegNoBN","63.75","0.09482033059092014","8"
