"Name","net","Test Accuracy","Test Loss","learning_rate"
"Net: ComplexCNNNoRegNoBN Transf: Cxr8 Epochs: 15","ComplexCNNNoRegNoBN","40.78","0.04441935661611149","0.0005458651559853628"
"Net: ComplexCNNNoRegNoBN Transf: Cxr8 Epochs: 15","ComplexCNNNoRegNoBN","40.78","0.04481331885710753","0.0013724710825347968"
"Net: ComplexCNNNoRegNoBN Transf: Cxr8 Epochs: 15","ComplexCNNNoRegNoBN","40.78","0.04486421491123751","0.005720824607458124"
"Net: Cxr8NetNoRegNoBN Transf: Cxr8 Epochs: 15","Cxr8NetNoRegNoBN","63.03","0.04045586168098353","0.002332275472122005"
"Net: Cxr8NetNoRegNoBN Transf: Cxr8 Epochs: 15","Cxr8NetNoRegNoBN","62.07","0.0409099579676834","0.0050837811209345374"
"Net: Cxr8NetNoRegNoBN Transf: Cxr8 Epochs: 15","Cxr8NetNoRegNoBN","62.68","0.04064472348954673","0.006886423634905534"
"Net: LeNet5NoRegNoBN Transf: Cxr8 Epochs: 15","LeNet5NoRegNoBN","61.41","0.04124114278499075","0.0014524990088043035"
"Net: LeNet5NoRegNoBN Transf: Cxr8 Epochs: 15","LeNet5NoRegNoBN","64.92","0.03973554868380067","0.004607391330636963"
"Net: LeNet5NoRegNoBN Transf: Cxr8 Epochs: 15","LeNet5NoRegNoBN","61.3","0.04213301747915944","0.0067413425932884765"
